Team,Rating,Seed
Houston,2839.85408,1
Alabama,2820.05248,1
Texas,2744.19712,2
Purdue,2725.91872,1
Kansas,2730.18368,1
Gonzaga,2739.32288,3
Arizona,2711.296,2
UCLA,2688.75264,2
Connecticut,2718.60736,4
Marquette,2668.6464,2
Baylor,2654.32832,3
Creighton,2667.42784,6
Duke,2653.71904,5
Tennessee,2646.40768,4
Kentucky,2620.20864,6
Indiana,2614.11584,4
Texas A&M,2593.40032,7
Texas Christian,2601.93024,6
San Diego State,2621.12256,5
Iowa State,2574.81728,6
Auburn,2585.47968,9
Xavier,2569.94304,3
Memphis,2587.30752,8
Kansas State,2572.6848,3
Saint Mary's (CA),2617.16224,5
Arkansas,2592.4864,8
Virginia,2553.18784,4
Michigan State,2553.49248,7
Iowa,2572.38016,8
Illinois,2575.42656,9
Maryland,2574.208,8
West Virginia,2563.5456,9
Miami (FL),2546.7904,5
Utah State,2543.13472,10
Providence,2521.50528,11
Penn State,2521.80992,10
Mississippi State,2493.4784,11
Boise State,2516.02176,10
Southern California,2529.73056,10
Florida Atlantic,2515.41248,9
Drake,2473.06752,12
Northwestern,2505.35936,7
Missouri,2479.46496,7
North Carolina State,2480.98816,11
Virginia Commonwealth,2487.3856,12
Arizona State,2447.47776,11
College of Charleston,2430.11328,12
Pittsburgh,2426.76224,11
Kent State,2417.92768,13
Nevada,2424.62976,11
Oral Roberts,2412.44416,12
Furman,2383.19872,13
Iona,2425.84832,13
Louisiana-Lafayette,2325.9264,13
Vermont,2323.18464,15
Grand Canyon,2312.2176,14
Colgate,2321.3568,15
Montana State,2294.54848,14
UC-Santa Barbara,2300.64128,14
Princeton,2297.29024,15
Kennesaw State,2232.40192,14
Northern Kentucky,2219.60704,16
North Carolina-Asheville,2224.48128,15
Texas A&M-Corpus Christi,2130.04288,16
Southeast Missouri State,2062.71744,16
Howard,2111.45984,16
Texas Southern,2027.68384,16
Fairleigh Dickinson,1961.8816,16
